1462795660455224	58	63	68	65	0d	0a	43	328
1462795660483158	60	84	77	65	62	6d	42	363
1462795660512093	62	9d	01	2a	00	02	00	421
1462795660512239	63	92	27	f4	61	c7	26	542
1462795660512353	64	54	07	16	0e	fe	9d	663
1462795660512507	65	a0	20	0d	9d	02	f6	784
1462795660512616	66	a7	3a	78	33	dc	ea	905
1462795660512718	67	ce	50	1f	84	8d	62	1026
1462795660540237	70	23	85	e6	31	16	c5	1147
1462795660540390	71	fd	b7	4e	ee	aa	19	1268
1462795660540502	72	51	f8	bb	58	20	40	1389
1462795660563325	79	9d	01	2a	00	02	00	1465
1462795660563437	80	92	27	f4	61	c7	26	1586
1462795660563547	81	54	07	16	0e	fe	9d	1707
1462795660563650	82	a0	20	0d	9d	02	f6	1828
1462795660563751	83	a7	3a	78	33	dc	ea	1949
1462795660563853	84	ce	50	1f	84	8d	62	2070
1462795660563954	85	23	85	e6	31	16	c5	2191
1462795660568153	87	fd	b7	4e	ee	aa	19	2312
1462795660591235	91	51	f8	bb	58	20	40	2433
1462795660613861	99	9d	01	2a	00	02	00	2509
1462795660614006	100	92	27	f4	61	c7	26	2630
1462795660614129	101	54	07	16	0e	fe	9d	2751
1462795660614258	102	a0	20	0d	9d	02	f6	2872
1462795660614383	103	a7	3a	78	33	dc	ea	2993
1462795660614524	104	ce	50	1f	84	8d	62	3114
1462795660614629	105	23	85	e6	31	16	c5	3235
1462795660614743	106	fd	b7	4e	ee	aa	19	3356
1462795660619099	108	51	f8	bb	58	20	40	3477
1462795660667943	116	9d	01	2a	00	02	00	3553
1462795660668083	117	92	27	f4	61	c7	26	3674
1462795660668218	118	54	07	16	0e	fe	9d	3795
1462795660668341	119	a0	20	0d	9d	02	f6	3916
1462795660668474	120	a7	3a	78	33	dc	ea	4037
1462795660668602	121	ce	50	1f	84	8d	62	4158
1462795660668748	122	23	85	e6	31	16	c5	4279
1462795660668871	123	fd	b7	4e	ee	aa	19	4400
1462795660668978	124	51	f8	bb	58	20	40	4521
1462795660771416	130	9d	01	2a	00	02	00	4597
1462795660771560	131	92	27	f4	61	c7	26	4718
1462795660771671	132	54	07	16	0e	fe	9d	4839
1462795660771767	133	a0	20	0d	9d	02	f6	4960
1462795660771866	134	a7	3a	78	33	dc	ea	5081
1462795660771965	135	ce	50	1f	84	8d	62	5202
1462795660772065	136	23	85	e6	31	16	c5	5323
1462795660772167	137	fd	b7	4e	ee	aa	19	5444
1462795660772265	138	51	f8	bb	58	20	40	5565
1462795660800782	140	9d	01	2a	00	02	00	5641
1462795660800934	141	92	27	f4	61	c7	26	5762
1462795660801051	142	54	07	16	0e	fe	9d	5883
1462795660801172	144	a0	20	0d	9d	02	f6	6004
1462795660801294	145	a7	3a	78	33	dc	ea	6125
1462795660803067	149	ce	50	1f	84	8d	62	6246
1462795660831375	155	ce	50	1f	84	8d	62	6365
1462795660831490	156	23	85	e6	31	16	c5	6484
1462795660831633	157	fd	b7	4e	ee	aa	19	6603
1462795660831760	158	51	f8	bb	58	20	40	6722
1462795660831891	159	9d	01	2a	00	02	00	6796
1462795660832065	160	92	27	f4	61	c7	26	6915
1462795660832222	161	54	07	16	0e	fe	9d	7034
1462795660859162	163	a0	20	0d	9d	02	f6	7153
1462795660859296	164	a7	3a	78	33	dc	ea	7272
1462795660860157	166	ce	50	1f	84	8d	62	7391
1462795660861187	168	23	85	e6	31	16	c5	7510
1462795660862066	170	fd	b7	4e	ee	aa	19	7629
1462795660862242	174	51	f8	bb	58	20	40	7748
1462795660875411	175	9d	01	2a	00	02	00	7822
1462795660875558	176	92	27	f4	61	c7	26	7941
1462795660875670	177	54	07	16	0e	fe	9d	8062
1462795660887175	179	a0	20	0d	9d	02	f6	8183
1462795660888167	181	a7	3a	78	33	dc	ea	8304
1462795660889192	183	ce	50	1f	84	8d	62	8425
1462795660891314	186	23	85	e6	31	16	c5	8546
1462795660891429	187	fd	b7	4e	ee	aa	19	8667
1462795660892089	189	51	f8	bb	58	20	40	8788
1462795660932265	197	9d	01	2a	00	02	00	8864
1462795660932415	198	92	27	f4	61	c7	26	8985
1462795660932568	199	54	07	16	0e	fe	9d	9106
1462795660932678	200	a0	20	0d	9d	02	f6	9227
1462795660932785	201	a7	3a	78	33	dc	ea	9348
1462795660932890	202	ce	50	1f	84	8d	62	9469
1462795660932992	203	23	85	e6	31	16	c5	9590
1462795660933091	204	fd	b7	4e	ee	aa	19	9711
1462795660933193	205	51	f8	bb	58	20	40	9832
1462795660986526	211	9d	01	2a	00	02	00	9908
1462795660986640	212	92	27	f4	61	c7	26	10029
1462795660986771	213	54	07	16	0e	fe	9d	10150
1462795660986916	214	a0	20	0d	9d	02	f6	10271
1462795660987041	215	a7	3a	78	33	dc	ea	10392
1462795660987173	216	ce	50	1f	84	8d	62	10513
1462795660987322	217	23	85	e6	31	16	c5	10634
1462795660987448	218	fd	b7	4e	ee	aa	19	10755
1462795660987555	219	51	f8	bb	58	20	40	10876
1462795661023989	224	fd	b7	4e	ee	aa	19	10952
1462795661034804	225	00	9d	01	2a	00	02	11073
1462795661034952	226	52	f7	a4	c1	3d	81	11194
1462795661035112	227	32	2f	90	95	56	b0	11315
1462795661063243	230	09	65	af	40	52	b9	11436
1462795661064125	232	35	bc	2e	bc	99	a3	11557
1462795661065088	234	fc	38	43	d0	72	04	11678
1462795661091267	236	19	9c	c6	31	2d	65	11799
1462795661092268	238	29	71	fb	3f	ef	20	11920
1462795661093261	240	b1	d2	d7	74	d6	ef	12041
1462795661119274	242	99	7e	53	4f	76	f3	12162
1462795661119401	243	be	19	81	36	88	9f	12283
1462795661120267	245	4f	f2	27	eb	2e	d7	12404
1462795661121249	247	04	a2	d4	4d	31	51	12525
1462795661147261	249	93	d3	6e	ad	53	de	12646
